bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
5788,5799,SHORT,11584.48486,11681.133511337843,11458.0,11675.29586340614,1.39,LOSS,-0.4571,9.5429,10.0,,0.0,,
5789,5799,SHORT,11578.547830000001,11679.991492159465,11458.0,11674.154414951989,1.26,LOSS,-0.4781,9.0648,10.0,,0.0,,
5790,5799,SHORT,11587.113545,11678.65957120487,11458.0,11672.823159625057,1.51,LOSS,-0.435,8.6298,10.0,,0.0,,
5792,5796,SHORT,11577.218495000001,11633.824005,11458.0,11673.707439896154,1.24,GUARDIAN_EXIT,-0.2845,8.3453,10.0,,0.0,,
5794,5799,SHORT,11597.288455,11671.28287797578,11506.406191134223,11665.450152899331,1.33,LOSS,-0.359,7.9863,10.0,,0.0,,
5795,5796,SHORT,11592.950625000001,11668.375368561012,11500.159329649663,11662.544096512756,1.33,LOSS,-0.3653,7.621,10.0,,0.0,,
5798,5806,SHORT,11610.3919,11698.600053701697,11500.576197515647,11692.753676863265,1.33,LOSS,-0.4199,7.2011,10.0,,0.0,,
5802,5806,SHORT,11636.768705,11717.976707229463,11536.299449125321,11712.12064690601,1.33,LOSS,-0.3889,6.8122,10.0,,0.0,,
5803,5806,SHORT,11632.290945,11715.211683942232,11534.862923241944,11709.357005439513,1.26,LOSS,-0.3964,6.4157,10.0,,0.0,,
5810,5815,SHORT,11673.250455000001,11585.950079999999,11585.803908250771,11748.751636687308,1.16,GUARDIAN_MOMENTUM_EXIT,0.3339,6.7497,10.0,,0.0,,
5811,5815,SHORT,11658.177995,11585.950079999999,11567.737654484,11749.500085128999,0.99,GUARDIAN_EXIT,0.2698,7.0194,10.0,,0.0,,
5850,5861,SHORT,11951.431295,11796.51531,11797.26,12086.893672629043,1.14,GUARDIAN_MOMENTUM_EXIT,0.6081,7.6276,10.0,,0.0,,
5910,5912,SHORT,10290.442205000001,10533.77291483367,9973.02026432878,10528.508660503418,1.33,LOSS,-1.2223,6.4052,10.0,,0.0,,
5948,5952,LONG,10086.990975,10114.280330000001,10521.658596393554,9716.333094651613,1.17,GUARDIAN_EXIT,0.0953,6.5005,10.0,,0.0,,
6020,6021,LONG,10032.483734999998,9857.245407947705,10259.560053405594,9862.176496195802,1.33,LOSS,-0.9134,5.5872,10.0,,0.0,,
6025,6030,LONG,9999.527265,10184.905,10247.00482758735,9788.130609353162,1.17,GUARDIAN_EXIT,0.8869,6.4741,10.0,,0.0,,
6026,6038,LONG,10031.69334,10240.986945,10260.12589424237,9792.891861439408,0.96,GUARDIAN_MOMENTUM_EXIT,1.0032,7.4773,10.0,,0.0,,
6055,6059,SHORT,10260.32727,10367.22102,10070.83,10457.690492051925,0.96,GUARDIAN_EXIT,-0.5609,6.9163,10.0,,0.0,,
6056,6059,SHORT,10271.74156,10367.22102,10070.83,10455.938426445002,1.09,GUARDIAN_EXIT,-0.5048,6.4116,10.0,,0.0,,
6084,6094,LONG,10267.541205,10382.696055,10380.929596642634,10171.652902089341,1.18,GUARDIAN_MOMENTUM_EXIT,0.5208,6.9323,10.0,,0.0,,
6118,6122,SHORT,10435.699540000001,10509.429526090289,10344.395676837865,10504.177437371603,1.33,LOSS,-0.3933,6.5391,10.0,,0.0,,
6121,6122,SHORT,10422.895945000002,10499.062017730435,10340.955504298605,10493.815110175348,1.16,LOSS,-0.4054,6.1337,10.0,,0.0,,
6126,6129,SHORT,10536.998865000001,10457.596185,10400.04,10605.041597927748,2.01,GUARDIAN_EXIT,0.3368,6.4705,10.0,,0.0,,
6127,6129,SHORT,10534.150290000001,10457.596185,10400.04,10602.038122845794,1.98,GUARDIAN_EXIT,0.3234,6.7939,10.0,,0.0,,
6128,6130,SHORT,10498.757995,10330.052445,10400.04,10604.359039799689,0.93,GUARDIAN_MOMENTUM_EXIT,0.7635,7.5573,10.0,,0.0,,
6139,6150,SHORT,10307.023910000002,10405.612935798203,10182.505484088688,10400.412729433487,1.33,LOSS,-0.5183,7.039,10.0,,0.0,,
6251,6254,SHORT,10984.994755,10904.819685,10870.01,11062.502638420054,1.48,GUARDIAN_EXIT,0.3249,7.364,10.0,,0.0,,
6279,6288,SHORT,11053.77035,10945.099814999998,10887.37,11212.901021403719,1.05,GUARDIAN_EXIT,0.4516,7.8155,10.0,,0.0,,
6280,6288,SHORT,11062.76585,10945.099814999998,10887.37,11210.886885216556,1.18,GUARDIAN_EXIT,0.4918,8.3073,10.0,,0.0,,
6282,6288,SHORT,11048.672900000001,10945.099814999998,10887.37,11209.50308267377,1.0,GUARDIAN_EXIT,0.4287,8.7361,10.0,,0.0,,
6283,6288,SHORT,11081.766345,10945.099814999998,10887.37,11208.534004983932,1.53,GUARDIAN_EXIT,0.5766,9.3127,10.0,,0.0,,
6470,6479,SHORT,10749.44259,10850.346464735201,10594.82,10844.924002733835,1.62,LOSS,-0.5093,8.8033,10.0,,0.0,,
6484,6506,SHORT,10874.190185,10695.28497,10704.45,10977.82652489158,1.64,GUARDIAN_MOMENTUM_EXIT,0.7826,9.5859,10.0,,0.0,,
6491,6515,SHORT,10895.62946,10767.62112,10779.99156714103,10982.357879644227,1.33,GUARDIAN_MOMENTUM_EXIT,0.5474,10.1334,10.0,,0.0,,
6494,6502,SHORT,10896.449050000001,10701.468060000001,10780.013538707806,10983.775683469146,1.33,GUARDIAN_MOMENTUM_EXIT,0.8547,10.9881,10.0,,0.0,,
6556,6559,SHORT,10815.659465,10889.30467493031,10685.62,10883.862743558531,1.91,LOSS,-0.3805,10.6076,10.0,,0.0,,
6634,6641,SHORT,10595.449625000001,10635.314999999999,10529.82757197657,10653.755513255857,1.13,GUARDIAN_EXIT,-0.2281,10.3795,10.0,,0.0,,
6635,6642,SHORT,10601.0968,10659.139684544154,10535.245687379693,10653.812778155077,1.25,LOSS,-0.3138,10.0657,10.0,,0.0,,
6640,6641,SHORT,10600.926885,10646.828544098194,10546.819011395877,10641.507790203093,1.33,LOSS,-0.2565,9.8092,10.0,,0.0,,
6641,6642,SHORT,10624.685000000001,10675.564232401603,10563.959509543094,10670.229117842682,1.33,LOSS,-0.2794,9.5298,10.0,,0.0,,
6642,6647,SHORT,10667.92337,10726.131324266387,10575.0,10720.77093879699,1.76,LOSS,-0.3128,9.217,10.0,,0.0,,
6645,6647,SHORT,10654.939865,10720.556759940377,10581.26,10715.199160360196,1.22,LOSS,-0.3479,8.8691,10.0,,0.0,,
6646,6647,SHORT,10661.296685,10720.067857187478,10581.26,10714.71050193651,1.5,LOSS,-0.3156,8.5534,10.0,,0.0,,
6647,6661,SHORT,10698.26819,10767.139043760648,10581.26,10761.75816467831,1.84,LOSS,-0.3619,8.1916,10.0,,0.0,,
6652,6660,SHORT,10671.671495,10731.813225,10598.19826715125,10759.998306962187,0.83,GUARDIAN_EXIT,-0.3218,7.8698,10.0,,0.0,,
6659,6661,SHORT,10690.262195000001,10753.109580410548,10613.630838260975,10747.735712554271,1.33,LOSS,-0.3339,7.5358,10.0,,0.0,,
6660,6670,SHORT,10721.086775000002,10784.36264345881,10615.64,10778.973156880369,1.82,LOSS,-0.3351,7.2007,10.0,,0.0,,
6661,6670,SHORT,10718.568035,10786.400737745967,10615.64,10781.010232629653,1.65,LOSS,-0.3564,6.8443,10.0,,0.0,,
6666,6670,SHORT,10725.414610000002,10803.023566486028,10644.395593564106,10797.624754108974,1.12,LOSS,-0.4018,6.4425,10.0,,0.0,,
6674,6678,SHORT,10759.907355000001,10716.505575,10682.085374905706,10819.455495023574,1.31,GUARDIAN_EXIT,0.1617,6.6042,10.0,,0.0,,
6699,6709,SHORT,10584.66502,10637.346015,10497.455391636608,10650.072241272544,1.33,GUARDIAN_EXIT,-0.2889,6.3153,10.0,,0.0,,
6760,6769,SHORT,11052.620925000001,11137.364656172567,10864.05,11131.798756794171,2.38,LOSS,-0.4234,5.892,10.0,,0.0,,
6761,6769,SHORT,11041.496490000001,11134.922274649574,10864.05,11129.357595851649,2.02,LOSS,-0.4631,5.4289,10.0,,0.0,,
6762,6768,SHORT,11028.76286,11090.192324999998,10864.05,11128.58258307143,1.65,GUARDIAN_EXIT,-0.3185,5.1104,10.0,,0.0,,
6763,6767,SHORT,11025.184650000001,11083.068765,10864.05,11126.861571995238,1.58,GUARDIAN_EXIT,-0.3025,4.8079,10.0,,0.0,,
6764,6769,SHORT,11047.133670000001,11132.01392107707,10864.05,11126.450695729207,2.31,LOSS,-0.4242,4.3837,10.0,,0.0,,
6765,6769,SHORT,11064.455005,11132.726395302885,10980.844593138749,11127.162813895939,1.33,LOSS,-0.3485,4.0352,10.0,,0.0,,
6767,6769,SHORT,11071.991235000001,11140.585676098679,10987.95532564644,11135.018167015172,1.33,LOSS,-0.3498,3.6854,10.0,,0.0,,
6768,6769,SHORT,11079.107675000001,11146.121291587857,10997.183220226914,11140.551016079817,1.33,LOSS,-0.3424,3.343,10.0,,0.0,,
6773,6796,SHORT,11349.16258,11343.60897,11050.51,11532.86525380282,1.63,GUARDIAN_EXIT,-0.0155,3.3275,10.0,,0.0,,
