trades,wr,pnl,pf,ppt,avg_win,avg_loss,floor_pct,sl_hits,time_exits,guard_exits,floor_frac
11888,65.74,3670.97,3.364,0.3088,0.6685,-0.3813,15.1,2451,722,6916,0.2
11909,66.5,3689.77,3.391,0.3098,0.6608,-0.3868,18.9,2450,707,6497,0.25
11955,67.51,3699.46,3.402,0.3094,0.6492,-0.3965,23.1,2460,688,6047,0.3
12002,68.36,3705.27,3.41,0.3087,0.639,-0.4048,28.4,2470,667,5456,0.35
12080,69.02,3701.67,3.405,0.3064,0.6285,-0.4113,36.3,2481,656,4554,0.4
12221,70.0,3718.49,3.406,0.3043,0.6153,-0.4215,39.5,2510,639,4246,0.45
12362,70.98,3788.6,3.444,0.3065,0.6085,-0.4321,43.0,2530,613,3907,0.5
12530,71.66,3789.39,3.426,0.3024,0.596,-0.4398,46.2,2561,599,3577,0.55
12665,72.05,3792.64,3.399,0.2995,0.5889,-0.4466,49.1,2595,582,3270,0.6
12879,72.72,3903.69,3.436,0.3031,0.5879,-0.4562,53.6,2643,555,2776,0.7
13004,72.99,3832.1,3.364,0.2947,0.5745,-0.4613,55.9,2676,541,2514,0.8
13043,73.12,3753.51,3.31,0.2878,0.5639,-0.4634,56.5,2686,537,2447,0.9
