coin,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,rr,bars_held,net_pnl,outcome,lgbm_conf
XRPUSDT,2026-04-01 13:00:00+00:00,2026-04-01 17:00:00+00:00,LONG,1.346973,1.350724,1.367,1.330569,1.22,4,0.0496,GUARDIAN_MOMENTUM_FLOOR,0.7843
LINKUSDT,2026-04-01 13:00:00+00:00,2026-04-01 17:00:00+00:00,LONG,8.953474,8.997499,9.193,8.744703,1.15,4,0.1029,GUARDIAN_EXIT,0.8384
NEARUSDT,2026-04-02 10:00:00+00:00,2026-04-02 15:00:00+00:00,LONG,1.152576,1.155422,1.176322,1.134767,1.33,5,0.0417,GUARDIAN_EXIT,0.7868
BNBUSDT,2026-04-02 13:00:00+00:00,2026-04-03 13:00:00+00:00,LONG,573.896805,586.316695,592.88,566.578416,2.59,24,0.521,GUARDIAN_EXIT,0.7802
DOGEUSDT,2026-04-02 17:00:00+00:00,2026-04-03 12:00:00+00:00,LONG,0.089755,0.091184,0.0915,0.088446,1.33,19,0.3782,GUARDIAN_MOMENTUM_FLOOR,0.7746
TAOUSDT,2026-04-02 17:00:00+00:00,2026-04-02 21:00:00+00:00,LONG,298.419135,299.100375,308.662385,289.709188,1.18,4,0.0371,GUARDIAN_EXIT,0.763
ONDOUSDT,2026-04-02 17:00:00+00:00,2026-04-03 12:00:00+00:00,LONG,0.256928,0.261169,0.264329,0.25055,1.16,19,0.3927,GUARDIAN_MOMENTUM_FLOOR,0.789
TRXUSDT,2026-04-02 20:00:00+00:00,2026-04-04 08:00:00+00:00,LONG,0.314947,0.31479,0.317022,0.311711,0.64,36,-0.0325,TIMEOUT,0.8065
AVAXUSDT,2026-04-02 20:00:00+00:00,2026-04-03 12:00:00+00:00,LONG,8.713354,8.954521,8.895563,8.566448,1.24,16,0.6719,GUARDIAN_MOMENTUM_FLOOR,0.757
ADAUSDT,2026-04-02 21:00:00+00:00,2026-04-03 07:00:00+00:00,LONG,0.23992,0.243278,0.24513,0.233297,0.79,10,0.33,GUARDIAN_MOMENTUM_FLOOR,0.7758
DOTUSDT,2026-04-03 10:00:00+00:00,2026-04-04 10:00:00+00:00,SHORT,1.249375,1.243622,1.229906,1.264867,1.26,24,0.0951,GUARDIAN_EXIT,0.7078
BNBUSDT,2026-04-03 15:00:00+00:00,2026-04-04 17:00:00+00:00,SHORT,586.86642,592.345044,580.550341,592.04902,1.22,26,-0.2534,LOSS,0.7565
SOLUSDT,2026-04-03 19:00:00+00:00,2026-04-05 06:00:00+00:00,SHORT,80.11992,79.589775,78.881697,81.209556,1.14,35,0.1454,GUARDIAN_EXIT,0.7121
ADAUSDT,2026-04-03 21:00:00+00:00,2026-04-04 10:00:00+00:00,SHORT,0.248276,0.244622,0.243585,0.252473,1.12,13,0.3479,GUARDIAN_MOMENTUM_FLOOR,0.7129
NEARUSDT,2026-04-04 00:00:00+00:00,2026-04-04 07:00:00+00:00,SHORT,1.209395,1.226467,1.189979,1.225854,1.18,7,-0.3729,LOSS,0.7082
TAOUSDT,2026-04-04 00:00:00+00:00,2026-04-04 14:00:00+00:00,SHORT,311.26429,305.302575,304.066442,317.299462,1.19,14,0.4588,GUARDIAN_MOMENTUM_FLOOR,0.722
SUIUSDT,2026-04-04 07:00:00+00:00,2026-04-04 14:00:00+00:00,SHORT,0.870664,0.866833,0.860568,0.880224,1.06,7,0.09,GUARDIAN_MOMENTUM_FLOOR,0.7255
DOTUSDT,2026-04-04 16:00:00+00:00,2026-04-04 19:00:00+00:00,LONG,1.248624,1.254372,1.264669,1.234989,1.18,3,0.0951,GUARDIAN_MOMENTUM_FLOOR,0.7576
