Time,Coin,Direction,Confidence,Model,Harga,Entry,TP,TP%,SL,SL%,ATR,H4 High,H4 Low,LGBM_Dec,LGBM_Conf,LGBM_S%,LGBM_F%,LGBM_L%,LSTM_Dec,LSTM_Conf,LSTM_S%,LSTM_F%,LSTM_L%,Stage,H4,InRng,Dist8H,RSI_H4,RSIslp,AbsSw,VolR,FG
2026-06-15 01:05,TAOUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,268.6300,268.6300,,,,,6.2653,270.6100,259.3300,FLAT,0.3668,29,37,34,,,,,,flat_flat_no_review,UP,0.47,-1.24,51.6,-12.228,2.54,0.081,20
2026-06-15 01:05,DOTUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.987000,0.987000,,,,,0.012175,0.970000,0.947000,LONG,0.3849,36,26,38,,,,,,flat_below_thr,UP,0.73,-1.23,64.9,-12.494,-0.00,0.208,20
2026-06-15 01:05,1000SHIBUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.00499800,0.00499800,,,,,0.00004123,0.00496300,0.00487600,SHORT,0.4181,42,27,31,,,,,,flat_below_thr,UP,0.69,-1.36,60.6,-11.007,-0.00,0.137,20
2026-06-15 01:05,ADAUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.180800,0.180800,,,,,0.00373077,0.169800,0.165700,LONG,0.3924,27,33,39,,,,,,flat_below_thr,UP,0.72,-1.64,76.5,-2.593,-0.00,0.348,20
2026-06-15 01:05,ONDOUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.365000,0.365000,,,,,0.00561243,0.356500,0.344200,LONG,0.3759,34,28,38,,,,,,flat_below_thr,UP,0.80,-0.96,66.1,-7.030,-0.00,0.105,20
2026-06-15 01:05,HBARUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.081310,0.081310,,,,,0.00082320,0.078730,0.076740,SHORT,0.4761,48,35,18,,,,,,flat_below_thr,UP,0.93,-0.41,79.3,3.402,-0.00,0.122,20
2026-06-15 01:05,SOLUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,70.6800,70.6800,,,,,0.792025,68.1200,67.1400,SHORT,0.3354,34,33,33,,,,,,flat_below_thr,UP,0.79,-1.28,74.5,-9.901,-0.00,0.249,20
2026-06-15 01:05,LINKUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,8.1020,8.1020,,,,,0.083459,7.9270,7.7790,LONG,0.3592,35,29,36,,,,,,flat_below_thr,UP,0.74,-1.37,68.1,-12.484,-0.00,0.153,20
2026-06-15 01:05,DOGEUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.088410,0.088410,,,,,0.00073433,0.087050,0.086080,SHORT,0.3873,39,27,34,,,,,,flat_below_thr,UP,0.79,-0.99,66.6,-13.819,-0.00,0.123,20
2026-06-15 01:05,ARBUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.085020,0.085020,,,,,0.00107366,0.083550,0.081540,SHORT,0.343,34,33,32,,,,,,flat_below_thr,UP,0.72,-1.25,63.1,-15.281,-0.00,0.176,20
2026-06-15 01:05,XRPUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,1.1788,1.1788,,,,,0.010996,1.1438,1.1299,SHORT,0.337,34,33,33,,,,,,flat_below_thr,UP,0.85,-0.84,75.6,-6.138,-0.00,0.167,20
2026-06-15 01:05,TRXUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.319580,0.319580,,,,,0.00156779,0.318430,0.317750,FLAT,0.3621,32,36,31,,,,,,flat_flat_no_review,UP,0.39,-4.52,57.2,-13.497,-0.00,0.363,20
2026-06-15 01:05,TONUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,1.7377,1.7377,,,,,0.024998,1.7498,1.6712,LONG,0.3827,37,25,38,,,,,,flat_below_thr,UP,0.72,-1.04,56.7,-10.427,2.16,0.042,20
2026-06-15 01:05,ETHUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,1711.83,1711.83,,,,,13.6594,1732.00,1658.08,SHORT,0.3541,35,30,35,,,,,,flat_below_thr,UP,0.74,-1.48,69.4,-19.005,-0.00,0.248,20
2026-06-15 01:05,BNBUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,613.7100,613.7100,,,,,3.8516,612.8600,603.0000,SHORT,0.3979,40,26,34,,,,,,flat_below_thr,UP,0.69,-1.25,58.5,-11.445,1.41,0.166,20
2026-06-15 01:05,1000PEPEUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.00288420,0.00288420,,,,,0.00003520,0.00282240,0.00276280,SHORT,0.3405,34,34,32,,,,,,flat_below_thr,UP,0.71,-1.43,64.8,-17.212,-0.00,0.157,20
2026-06-15 01:05,POLUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,0.076460,0.076460,,,,,0.00061906,0.077220,0.074590,LONG,0.3745,36,27,37,,,,,,flat_below_thr,UP,0.72,-1.23,63.6,-13.014,-0.00,0.147,20
2026-06-15 01:05,NEARUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,2.2270,2.2270,,,,,0.040720,2.1140,2.0660,LONG,0.3978,33,28,40,,,,,,flat_below_thr,UP,0.84,-0.76,75.9,-5.116,-0.00,0.124,20
2026-06-15 01:05,AVAXUSDT,FLAT,1.0000,tb_widyawardhana_v2_continuation,6.7070,6.7070,,,,,0.084399,6.6480,6.3710,SHORT,0.3972,40,33,28,,,,,,flat_below_thr,UP,0.78,-1.13,60.7,-9.490,-0.00,0.153,20
