Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-06-16 08:06,2026-06-16 08:55,XRPUSDT,cascade,SHORT,0.52,1.2329,1.2499,1.2110,1.2493,0.010950,+0.8,+1.6,1.33,UP,0.04,1.2422,1.2134,4.4800,5.0,-0.33,-7.3,sl_hit,0,closed
2026-06-16 08:05,,ETHUSDT,cascade,SHORT,0.53,1773.69,,1746.47,1808.67,13.6120,+1.6,+0.9,0.78,DOWN,0.03,1801.86,1757.36,6.4500,5.0,,,,0,open
2026-06-16 04:07,2026-06-16 08:55,DOTUSDT,cascade,SHORT,0.54,1.0085,1.0313,0.985505,1.0307,0.011495,+1.6,+0.8,1.03,DOWN,0.06,1.0250,1.0000,6.9600,5.0,-0.81,-11.7,sl_hit,4,closed
2026-06-16 03:05,2026-06-16 07:10,AVAXUSDT,cascade,LONG,0.47,6.7724,6.8656,6.9007,6.6762,0.064143,+2.2,-1.5,1.33,DOWN,0.07,6.9210,6.8710,8.8700,5.0,+0.57,+6.5,guardian_exit,4,closed
2026-06-16 02:06,2026-06-16 02:38,DOTUSDT,cascade,LONG,0.48,1.0105,0.994281,1.0314,0.994778,0.010444,+1.4,+1.0,1.33,UP,0.10,1.0250,1.0000,47.8900,5.0,-4.04,-8.4,sl_hit,0,closed
2026-06-15 21:05,2026-06-15 23:07,TONUSDT,cascade,SHORT,0.52,1.7533,1.7174,1.6981,1.7948,0.027629,+4.2,-0.3,1.33,DOWN,0.03,1.8270,1.7583,21.9000,5.0,+2.16,+9.9,guardian_exit,2,closed
2026-06-15 04:05,2026-06-15 11:24,DOGEUSDT,tb_widyawardhana_v2_continuation,SHORT,0.54,0.088726,0.089767,0.087397,0.089722,0.00066436,-1.9,+2.8,1.33,UP,0.10,0.087050,0.086250,5.0000,5.0,-0.31,-6.3,sl_hit,7,closed
2026-06-15 04:05,2026-06-15 11:29,BNBUSDT,tb_widyawardhana_v2_continuation,SHORT,0.53,617.4611,623.0096,610.4782,622.6983,3.4915,-0.7,+2.3,1.33,UP,0.12,612.8600,603.0000,5.0000,5.0,-0.24,-4.9,sl_hit,7,closed
2026-06-15 04:05,2026-06-15 10:54,1000PEPEUSDT,tb_widyawardhana_v2_continuation,SHORT,0.52,0.00291204,0.00295922,0.00276820,0.00295774,0.00003046,+0.8,+4.9,3.15,UP,0.07,0.00293440,0.00276820,5.0000,5.0,-0.42,-8.5,sl_hit,6,closed
2026-06-14 20:05,2026-06-14 22:09,TONUSDT,tb_widyawardhana_v2_continuation,LONG,0.50,1.6906,1.7360,1.7498,1.6573,0.022243,+3.5,+1.2,1.77,DOWN,0.05,1.7498,1.6712,5.0000,5.0,+0.65,+13.0,guardian_momentum_exit,2,closed
2026-06-14 16:05,2026-06-14 21:39,POLUSDT,tb_widyawardhana_v2_continuation,SHORT,0.52,0.075162,0.076106,0.074169,0.076068,0.00049680,+0.9,+0.7,1.10,DOWN,0.22,0.075820,0.074650,5.0000,5.0,-0.33,-6.7,sl_hit,5,closed
2026-06-14 09:05,2026-06-14 11:04,1000SHIBUSDT,tb_widyawardhana_v3,LONG,0.46,0.00500350,0.00496163,0.00505602,0.00496411,0.00002626,+0.7,+0.4,1.33,UP,0.11,0.00503900,0.00498300,5.0000,5.0,-0.23,-4.6,sl_hit,1,closed
2026-06-14 07:05,2026-06-14 14:07,XRPUSDT,tb_widyawardhana_v3,SHORT,0.52,1.1442,1.1350,1.1330,1.1527,0.00562943,+1.0,-0.0,1.33,UP,0.06,1.1561,1.1443,5.0000,5.0,+0.18,+3.6,guardian_momentum_exit,7,closed
2026-06-14 07:05,2026-06-14 14:12,ETHUSDT,tb_widyawardhana_v3,SHORT,0.51,1674.18,1664.57,1662.17,1692.90,6.0057,+0.9,+0.0,0.64,UP,0.09,1689.90,1674.00,5.0000,5.0,+0.12,+2.5,guardian_exit,7,closed
2026-06-14 07:05,2026-06-14 10:24,1000PEPEUSDT,tb_widyawardhana_v3,SHORT,0.46,0.00281859,0.00284042,0.00278260,0.00284558,0.00001799,+1.4,-0.6,1.33,DOWN,0.08,0.00285920,0.00283410,5.0000,5.0,-0.21,-4.3,guardian_exit,3,closed
2026-06-14 07:05,2026-06-14 14:17,SUIUSDT,tb_widyawardhana_v3,SHORT,0.44,0.757921,0.751175,0.746832,0.766238,0.00554455,+1.6,-0.5,1.33,DOWN,0.08,0.770400,0.761800,5.0000,5.0,+0.20,+4.0,guardian_exit,7,closed
2026-06-14 04:05,2026-06-14 09:15,TRXUSDT,tb_widyawardhana_v3,LONG,0.48,0.315438,0.317040,0.316755,0.314450,0.00065856,+0.9,-0.3,1.33,DOWN,0.07,0.318230,0.316420,5.0000,5.0,+0.11,+2.1,reconciled,5,closed
