Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-06-12 02:05,,DOGEUSDT,ic32_regime_v1,SHORT,0.65,0.085847,,0.084340,0.086987,0.00059354,+1.0,+1.8,1.32,UP,0.05,0.086690,0.084340,5.0000,5.0,,,,1,open
2026-06-12 02:05,,SUIUSDT,ic32_regime_v1,LONG,0.81,0.751375,,0.765971,0.739651,0.00729787,+1.9,+1.1,1.24,UP,0.06,0.765700,0.743300,5.0000,5.0,,,,1,open
2026-06-12 01:05,,SUIUSDT,ic32_regime_v1,LONG,0.71,0.751476,,0.769800,0.739373,0.00785446,+2.4,+1.1,1.51,UP,0.15,0.769800,0.743300,5.0000,5.0,,,,2,open
2026-06-12 00:05,,TRXUSDT,ic32_regime_v1,SHORT,0.60,0.315702,,0.308420,0.321220,0.00229985,+1.4,+2.3,1.32,DOWN,0.36,0.320070,0.308420,5.0000,5.0,,,,3,open
2026-06-12 00:05,,1000PEPEUSDT,ic32_regime_v1,SHORT,0.64,0.00278391,,0.00272832,0.00285510,0.00002779,+2.1,+1.8,0.78,UP,0.04,0.00284120,0.00273450,5.0000,5.0,,,,3,open
2026-06-11 21:05,,BNBUSDT,ic32_regime_v1,SHORT,0.70,603.1283,,595.2748,609.9534,3.9267,+0.8,+1.1,1.15,UP,0.03,607.9900,596.4000,5.0000,5.0,,,,6,open
2026-06-11 17:05,2026-06-11 19:31,DOTUSDT,ic32_regime_v1,LONG,0.80,0.943471,0.968515,0.963844,0.927907,0.010186,+1.6,+1.1,1.31,UP,0.13,0.959000,0.933000,2.5000,5.0,+0.33,+13.1,guardian_momentum_exit,2,closed
2026-06-11 13:05,2026-06-11 15:06,HBARUSDT,ic32_regime_v1,LONG,0.77,0.078469,0.077631,0.079531,0.077304,0.00053112,+1.1,+1.1,0.91,UP,0.08,0.079350,0.077570,5.0000,5.0,-0.27,-5.4,guardian_exit,2,closed
2026-06-11 09:05,2026-06-11 17:41,SUIUSDT,ic32_regime_v1,SHORT,0.71,0.750625,0.764282,0.726100,0.766007,0.00841327,+1.5,+3.3,1.59,UP,0.05,0.761800,0.726100,5.0000,5.0,-0.46,-9.2,guardian_exit,8,closed
2026-06-11 08:05,2026-06-11 11:31,ARBUSDT,ic32_regime_v1,SHORT,0.72,0.080350,0.081551,0.077410,0.083529,0.00121893,+3.2,+3.7,0.92,UP,0.04,0.082920,0.077410,5.0000,5.0,-0.38,-7.5,guardian_exit,3,closed
