bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
5803,5806,SHORT,11632.290945,11715.211683942232,11534.862923241944,11709.357005439513,1.26,LOSS,-0.3964,9.6036,10.0,,0.0,,
5910,5912,SHORT,10290.442205000001,10533.77291483367,9973.02026432878,10528.508660503418,1.33,LOSS,-1.2223,8.3813,10.0,,0.0,,
5948,5952,LONG,10086.990975,10114.280330000001,10521.658596393554,9716.333094651613,1.17,GUARDIAN_EXIT,0.0953,8.4765,10.0,,0.0,,
6020,6021,LONG,10032.483734999998,9857.245407947705,10259.560053405594,9862.176496195802,1.33,LOSS,-0.9134,7.5632,10.0,,0.0,,
6025,6030,LONG,9999.527265,10184.905,10247.00482758735,9788.130609353162,1.17,GUARDIAN_EXIT,0.8869,8.4501,10.0,,0.0,,
6026,6038,LONG,10031.69334,10240.986945,10260.12589424237,9792.891861439408,0.96,GUARDIAN_MOMENTUM_EXIT,1.0032,9.4533,10.0,,0.0,,
6084,6094,LONG,10267.541205,10382.696055,10380.929596642634,10171.652902089341,1.18,GUARDIAN_MOMENTUM_EXIT,0.5208,9.974,10.0,,0.0,,
6126,6129,SHORT,10536.998865000001,10457.596185,10400.04,10605.041597927748,2.01,GUARDIAN_EXIT,0.3368,10.3108,10.0,,0.0,,
6127,6129,SHORT,10534.150290000001,10457.596185,10400.04,10602.038122845794,1.98,GUARDIAN_EXIT,0.3234,10.6342,10.0,,0.0,,
6128,6130,SHORT,10498.757995,10330.052445,10400.04,10604.359039799689,0.93,GUARDIAN_MOMENTUM_EXIT,0.7635,11.3976,10.0,,0.0,,
6283,6288,SHORT,11081.766345,10945.099814999998,10887.37,11208.534004983932,1.53,GUARDIAN_EXIT,0.5766,11.9743,10.0,,0.0,,
6641,6642,SHORT,10624.685000000001,10675.564232401603,10563.959509543094,10670.229117842682,1.33,LOSS,-0.2794,11.6948,10.0,,0.0,,
6642,6647,SHORT,10667.92337,10726.131324266387,10575.0,10720.77093879699,1.76,LOSS,-0.3128,11.382,10.0,,0.0,,
6761,6769,SHORT,11041.496490000001,11134.922274649574,10864.05,11129.357595851649,2.02,LOSS,-0.4631,10.9189,10.0,,0.0,,
6776,6801,SHORT,11311.611365,11402.71851,11050.51,11528.794412623643,1.2,GUARDIAN_EXIT,-0.4427,10.4762,10.0,,0.0,,
6777,6801,SHORT,11308.44295,11402.71851,11050.51,11465.40849094049,1.64,GUARDIAN_EXIT,-0.4568,10.0194,10.0,,0.0,,
6787,6805,SHORT,11357.308505,11446.9049651663,11247.211013080754,11441.184372979811,1.31,LOSS,-0.4344,9.5849,10.0,,0.0,,
6788,6790,SHORT,11363.085615000002,11298.86661,11252.065122003321,11446.350984747512,1.33,GUARDIAN_EXIT,0.2426,9.8275,10.0,,0.0,,
6970,6975,SHORT,11414.909690000002,11461.557915,11346.62143440613,11495.032063898467,0.85,GUARDIAN_EXIT,-0.2443,9.5832,10.0,,0.0,,
6971,6974,SHORT,11411.991150000002,11452.403339999999,11346.445328485313,11494.34645537867,0.8,GUARDIAN_EXIT,-0.2171,9.3661,10.0,,0.0,,
6982,6986,SHORT,11497.38843,11422.418354999998,11413.96,11548.854971100951,1.62,GUARDIAN_MOMENTUM_EXIT,0.286,9.6522,10.0,,0.0,,
6983,6986,SHORT,11463.60533,11422.418354999998,11380.140882505568,11526.203665620824,1.33,GUARDIAN_EXIT,0.1396,9.7918,10.0,,0.0,,
6984,6986,SHORT,11455.80923,11422.418354999998,11378.681375504826,11513.655120871383,1.33,GUARDIAN_EXIT,0.1057,9.8975,10.0,,0.0,,
7002,7012,SHORT,11684.145005,11761.407765,11472.46,11858.304502828947,1.22,GUARDIAN_EXIT,-0.3706,9.5269,10.0,,0.0,,
7164,7166,SHORT,13197.45797,12984.899205,12930.0,13315.387319796067,2.27,GUARDIAN_MOMENTUM_EXIT,0.7653,10.2922,10.0,,0.0,,
7499,7501,SHORT,15557.487365,15108.5505,15138.29452731948,15871.881993260391,1.33,GUARDIAN_MOMENTUM_EXIT,1.4028,11.695,10.0,,0.0,,
8214,8249,LONG,17964.757889999997,17955.775511055,18453.020288653173,17598.561091010117,1.33,GUARDIAN_MOMENTUM_PARTIAL,0.2699,11.9649,10.0,8224.0,0.3124,18187.3018,0.5
8520,8527,LONG,22762.335479999998,23475.456400000003,23453.089186267138,22244.270200299645,1.33,GUARDIAN_MOMENTUM_EXIT,1.5264,13.4914,10.0,,0.0,,
8566,8572,LONG,23034.83166,23111.73835,23752.256182760237,22420.64386930994,1.17,GUARDIAN_EXIT,0.1269,13.6183,10.0,,0.0,,
8567,8572,LONG,23061.504989999998,23111.73835,23742.5475763922,22429.73935340195,1.08,GUARDIAN_EXIT,0.0689,13.6872,10.0,,0.0,,
8568,8604,LONG,22943.175854999998,22931.7042670725,23606.252763206576,22445.868173845065,1.33,TIMEOUT_MOMENTUM,0.1438,13.831,10.0,8572.0,0.1863,23111.73835,0.5
8667,8672,LONG,26733.94029,26902.86184,27542.256167716096,25898.921030570975,0.97,GUARDIAN_EXIT,0.2759,14.1069,10.0,,0.0,,
8745,8749,LONG,28394.790299999997,29112.136650000004,29301.768800215963,27623.25537494601,1.18,GUARDIAN_EXIT,1.2232,15.3301,10.0,,0.0,,
8746,8754,LONG,28586.255985,29395.285005,29468.752018520503,27629.375991619872,0.92,GUARDIAN_MOMENTUM_EXIT,1.3751,16.7051,10.0,,0.0,,
8859,8895,LONG,31361.442885,31345.7621635575,33069.11164804016,29473.08280923996,0.9,TIMEOUT_MOMENTUM,0.1257,16.8309,10.0,8861.0,0.1682,31569.217495,0.5
8966,8969,SHORT,40698.4406,40601.77074,39459.24361716504,41689.79924570874,1.25,GUARDIAN_EXIT,0.0788,16.9096,10.0,,0.0,,
9217,9219,LONG,35493.187724999996,34408.61566436436,36737.87341038524,34425.82857865369,1.17,LOSS,-1.5679,15.3418,10.0,,0.0,,
9297,9324,LONG,32137.90092,31065.153164687792,33375.766874225956,31080.69351144351,1.17,LOSS,-0.4913,14.8504,10.0,9313.0,0.3732,32614.16476,0.5
