feature,gain,split,in_ic32,in_current,gain_pct
cvd_slope_h4,30279.036935696844,1483.625,True,True,7.848068285926506
atr_zscore_20d,27987.15909093432,942.125,False,False,7.254033083720548
ret_7d,26279.94384852983,1767.0,False,False,6.811537444588469
ret_14d,23340.51888876618,1586.75,False,False,6.049663549636895
ret_30d,23111.35532165505,1605.875,False,False,5.990266306350919
ofi_h4_delta,22344.94737756392,1070.25,True,True,5.7916198998328605
log_ret_20,18838.355511622503,919.25,True,True,4.882741177130204
atr_percentile_h1,18361.68296119012,864.5,False,False,4.75919171504643
funding_rate,16366.39660534449,1205.375,False,False,4.242030498726734
dist_pdl,15604.522019008175,1176.25,False,False,4.044559099897986
ema_50_slope_h4,14850.486041110009,1022.75,True,True,3.849119401562878
dist_pdh,14618.31982708862,1084.625,False,False,3.7889438977912637
Sell_Liq,10232.947659268975,802.5,True,True,2.652292811254384
Buy_Liq,9951.641344490461,862.875,True,True,2.5793806122193685
relative_strength_z,8752.17630790919,651.125,True,True,2.268489498553421
cvd_div_h4,8335.244530111551,350.875,True,True,2.1604243355273467
dist_liq_20x_short,8142.890959946904,671.375,True,True,2.1105679296944984
dist_liq_20x_long,7553.722711361945,613.25,True,True,1.9578605415231358
whale_retail_divergence,7390.245902422816,520.75,True,True,1.9154887460646377
cvd_momentum_adv,7054.588161329739,615.0,True,True,1.8284891206012306
stochrsi_d,6783.410160116851,553.25,True,True,1.7582020941122614
trend_accel_4h,6374.4736790200695,511.375,True,True,1.6522092438419667
vol_price_confirm,5976.245098411338,475.5,True,True,1.5489917901078165
hmm_regime_enc,5542.044499337673,361.375,True,True,1.4364506958003236
dist_from_8h_high,5475.913826225675,470.75,True,True,1.4193101890041717
ema_21_slope_h4,5224.975471861428,414.125,True,True,1.3542691064627757
dist_liq_50x_short,4856.942132215947,452.5,True,True,1.2588780018127415
dist_liq_50x_long,4514.585091946647,419.125,True,True,1.1701419751053144
rsi_h4,4433.389210199646,366.875,True,True,1.1490966946414822
ofi_acceleration,3709.170198019594,346.875,True,True,0.9613852996712352
rsi_slope_h4,3667.112298551947,375.25,True,True,0.9504842506158871
stochrsi_k,3514.2220876376377,352.75,True,True,0.910856411129004
rsi_6,3461.963736297039,357.0,True,True,0.8973114918932323
swing_momentum,2664.0905646886094,322.625,True,True,0.6905095666011656
h4_trend,220.43639071285725,11.125,True,True,0.05713523355091032
