feature,mean_IC,std_IC,median_IC,n_obs,hit_rate,sig_pct,t_stat,ic_ir,in_current_27
ofi_h4_delta,0.114,0.0313,0.1128,99,1.0,0.9798,36.1959,3.6378,True
cvd_slope_h4,0.1088,0.0358,0.1105,99,1.0,0.9798,30.2147,3.0367,True
wyckoff_phase,-0.0534,0.0366,-0.0474,99,0.0808,0.7778,-14.4923,1.4565,False
ret_30d,-0.0462,0.0493,-0.0447,96,0.1979,0.6875,-9.1738,0.9363,False
hmm_regime_enc,0.0417,0.0449,0.0426,99,0.8182,0.7677,9.2523,0.9299,False
dist_liq_20x_short,-0.036,0.0356,-0.0357,99,0.1616,0.6162,-10.0577,1.0108,True
dist_liq_50x_short,-0.033,0.032,-0.0342,99,0.1717,0.6263,-10.2518,1.0303,True
dow_cos,-0.0328,0.0539,-0.0362,99,0.2828,0.6667,-6.0443,0.6075,True
ret_14d,-0.0319,0.0494,-0.0315,99,0.1818,0.6162,-6.4239,0.6456,False
ema_21_slope_h4,0.0273,0.0423,0.0306,99,0.7374,0.6364,6.4317,0.6464,False
rsi_h4,0.0271,0.0392,0.0296,99,0.7879,0.5859,6.8805,0.6915,False
stochrsi_d,0.0268,0.0287,0.0293,99,0.8788,0.6162,9.2893,0.9336,True
Sell_Liq,-0.0265,0.0366,-0.0278,99,0.1919,0.6263,-7.2125,0.7249,False
spread_to_volume,-0.026,0.0421,-0.0226,99,0.2323,0.5657,-6.1417,0.6173,False
price_vs_ema_50_h4,0.0255,0.0424,0.0281,99,0.7576,0.6162,5.9837,0.6014,False
cvd_div_h4,-0.0253,0.0284,-0.026,99,0.1919,0.5253,-8.8861,0.8931,False
atr_percentile_h1,0.0246,0.0446,0.0308,99,0.7071,0.6465,5.4998,0.5528,True
price_in_range,0.024,0.0421,0.0202,99,0.7374,0.5758,5.6728,0.5701,False
Buy_Liq,0.0239,0.0384,0.0244,99,0.7576,0.596,6.1782,0.6209,True
ema_50_slope_h4,0.0238,0.0418,0.0246,99,0.7475,0.596,5.6781,0.5707,False
stochrsi_k,0.0236,0.0298,0.0249,99,0.8586,0.6061,7.8868,0.7927,False
atr_zscore_20d,0.0234,0.0404,0.0247,99,0.7172,0.5758,5.7761,0.5805,False
cvd_momentum_adv,0.0234,0.0291,0.0248,99,0.798,0.5455,7.9963,0.8037,True
trend_strength,0.0224,0.0406,0.0234,99,0.7071,0.5859,5.4777,0.5505,False
atr_percent_h4,0.0222,0.0494,0.0197,99,0.6869,0.6364,4.4655,0.4488,True
trend_accel_4h,0.0221,0.0295,0.023,99,0.798,0.5354,7.4443,0.7482,True
dist_swing_high,0.0219,0.0408,0.0201,99,0.7172,0.6061,5.3378,0.5365,True
VAH,-0.0215,0.0403,-0.0236,99,0.303,0.596,-5.3125,0.5339,True
VAL,-0.0214,0.0421,-0.02,99,0.2626,0.5253,-5.0576,0.5083,False
dist_swing_low,0.0212,0.0431,0.0183,99,0.6768,0.5556,4.8935,0.4918,False
vol_price_confirm,0.021,0.0356,0.0222,99,0.697,0.5556,5.8827,0.5912,False
dist_pdl,0.0206,0.0382,0.0272,99,0.6768,0.6061,5.3547,0.5382,False
h4_trend,0.0196,0.0429,0.0208,99,0.6364,0.5758,4.5578,0.4581,False
dist_from_8h_high,0.019,0.0305,0.022,99,0.7677,0.4949,6.1993,0.6231,True
relative_strength_z,0.0189,0.0405,0.0207,93,0.6774,0.5914,4.4967,0.4663,False
funding_rate,-0.0187,0.0427,-0.0164,98,0.3878,0.5204,-4.3223,0.4366,True
