date_wita,hour_wita,symbol,holdout_expected_dir,holdout_ts_utc,live_direction,live_confidence,live_entry_reason,holdout_lgbm_pred,holdout_lgbm_conf,holdout_lgbm_proba,holdout_hmm_enc,holdout_thr_l_s,h_hmm_regime_enc,l_hmm_regime_enc,h_h4_trend,l_h4_trend,h_cvd_slope_h4,l_cvd_slope_h4,h_ofi_h4_delta,l_ofi_h4_delta,h_vol_ratio_20,l_vol_ratio_20,h_vol_spike_zscore,l_vol_spike_zscore,h_stochrsi_d,l_stochrsi_d,h_log_ret_20,l_log_ret_20,h_atr_percentile_h1,l_atr_percentile_h1,h_dist_from_8h_high,l_dist_from_8h_high,h_rsi_h4,l_rsi_h4,h_long_short_ratio,l_long_short_ratio,h_close,l_close,live_lgbm_dec,live_lgbm_conf,live_lstm_dec,live_lstm_conf,live_cascade_stage,live_lgbm_proba
2026-06-08,9,ADAUSDT,LONG,2026-06-08 01:00:00+00:00,FLAT,1.0,,BULLISH,0.6651,"[0.2845, 0.0504, 0.6651]",3,0.65/0.72,3.0,0.0,1.0,1.0,0.09238906680837558,0.1663023685506442,1819664.5,-244782.5,0.8535838718019925,0.06201942851268569,-0.3881563501173766,-1.5253065391058256,74.57154534701998,76.71621407739757,0.012959144642505116,0.02028966005875947,0.8344923504867872,0.5261044176706827,-1.8229970890315206,-1.6503349519217478,52.4385227610981,59.6318493829081,0.9886150482752335,0.0,0.1631,0.1643,LONG,0.4593,SHORT,0.4928,flat_lstm_reviewed,"[0.4264, 0.1143, 0.4593]"
2026-06-08,9,SUIUSDT,SHORT,2026-06-08 01:00:00+00:00,FLAT,1.0,,BEARISH,0.8484,"[0.8484, 0.0557, 0.0959]",1,0.72/0.72,1.0,0.0,1.0,1.0,1.1071766626770685,0.7602709566942392,-375124.55000000075,-160692.05000000057,0.9351076272889591,0.06261967234984962,-0.20267945027285342,-1.3637381691371244,79.83211881118818,81.32398671641123,0.008633911640011697,0.013515509829312645,0.5396383866481224,0.4899598393574297,-1.6360291472567479,-1.5694924401944939,58.25520537919697,63.08395109924418,0.9899266189347302,0.0,0.7561,0.7598,LONG,0.5978,FLAT,0.5191,flat_lstm_reviewed,"[0.2248, 0.1774, 0.5978]"
2026-06-08,12,LINKUSDT,LONG,2026-06-08 04:00:00+00:00,FLAT,1.0,,BULLISH,0.7297,"[0.2158, 0.0545, 0.7297]",0,0.72/0.72,0.0,0.0,1.0,1.0,0.12708312214424333,0.13307682490006964,97457.09000000003,169017.54000000004,0.8488435494308001,0.22311477136430619,-0.2761997145625373,-1.281742290436571,65.3962164581465,67.61427947092368,-0.005524521020680846,0.0035810244177062424,0.8247566063977747,0.5502008032128514,-2.308086926670111,-1.865210961741501,45.693943392811676,54.04049568174398,0.9902691312769215,0.0,7.762,7.833,LONG,0.6778,SHORT,0.4774,flat_lstm_reviewed,"[0.2631, 0.0591, 0.6778]"
2026-06-09,13,LINKUSDT,SHORT,2026-06-09 05:00:00+00:00,FLAT,1.0,,BEARISH,0.7912,"[0.7912, 0.1053, 0.1035]",0,0.72/0.72,0.0,0.0,1.0,1.0,-0.017611671244403184,0.0028964695266530654,201133.50999999998,208010.29499999998,0.679174146000088,0.09224906579624047,-0.6422826040518004,-1.5035655044547596,37.434483820066056,36.40468751298183,0.009555013605933088,0.0065474925419778535,0.5855354659248957,0.21686746987951808,-0.8810163010825365,-1.2440805378299478,58.033472127359325,54.82638313792092,1.0023216217853654,0.0,7.992,7.968,LONG,0.6874,FLAT,0.6732,flat_lstm_reviewed,"[0.2732, 0.0395, 0.6874]"
2026-06-10,6,SUIUSDT,LONG,2026-06-09 22:00:00+00:00,FLAT,0.4275,,BULLISH,0.7786,"[0.1692, 0.0523, 0.7786]",1,0.72/0.72,1.0,0.0,-1.0,-1.0,0.7583953146804299,0.1381376288093236,326444.7499999993,131202.4999999998,0.4375670774320723,0.04249253575819574,-1.216490776772645,-1.8774378146335575,84.16095056969321,84.53817731541683,-0.0010726737418994135,0.0,0.0890125173852573,0.0642570281124498,-1.391270964061952,-1.3910300602618646,44.069492381213706,45.10055305192327,0.998135649787234,0.0,0.7454,0.7462,LONG,0.8333,SHORT,0.5671,lgbm_direct,"[0.1194, 0.0472, 0.8333]"
2026-06-11,8,SOLUSDT,LONG,2026-06-11 00:00:00+00:00,FLAT,1.0,,BULLISH,0.7338,"[0.2235, 0.0426, 0.7338]",1,0.72/0.72,1.0,0.0,-1.0,-1.0,0.0467375275817932,-0.014608320317192676,45047.35500000004,-54692.564999999995,0.5612032530016611,0.06155823452628124,-0.6340358597044058,-1.4648225052641282,18.113380368770407,16.25367109220551,-0.00985383745433114,-0.015844711434057832,0.6842837273991655,0.20080321285140562,-1.5689589784527205,-2.1658839828576752,48.93681987776813,41.46534460624842,1.0044419405477425,0.0,63.62,63.24,FLAT,0.5434,FLAT,0.6657,flat_lstm_reviewed,"[0.0708, 0.5434, 0.3858]"
2026-06-11,8,ADAUSDT,LONG,2026-06-11 00:00:00+00:00,FLAT,1.0,,BULLISH,0.7745,"[0.0427, 0.1828, 0.7745]",2,0.72/0.72,2.0,0.0,-1.0,-1.0,0.034212616023060596,-0.0013111110165467939,10744305.5,-725822.5,0.5993873669938625,0.08066988248172276,-0.6184647562929014,-1.8980100240521962,36.139993800454725,35.53265479975173,-0.001239925763320325,-0.003102701837510889,0.7732962447844228,0.357429718875502,-1.2685022497676806,-1.4278779218793698,48.79800905812734,47.103592398045656,1.0027396329182843,0.0,0.1612,0.1609,FLAT,0.4373,LONG,0.5467,flat_lstm_reviewed,"[0.1453, 0.4373, 0.4174]"
2026-06-11,8,LINKUSDT,LONG,2026-06-11 00:00:00+00:00,FLAT,1.0,,BULLISH,0.809,"[0.1155, 0.0754, 0.809]",0,0.72/0.72,0.0,0.0,-1.0,-1.0,0.015549456911289053,-0.0623016146026097,179900.85,18733.55000000001,0.5930604833933887,0.07428702640727565,-0.603785869505153,-1.6483341617468852,16.653991331064343,14.47862679293693,-0.012279710149628023,-0.017286967943359644,0.5869262865090403,0.17269076305220885,-1.5504459969606985,-2.0830652409755017,44.989982290289,37.79399373375357,1.0043848587125113,0.0,7.608,7.57,FLAT,0.6212,,,flat_flat_no_review,"[0.0441, 0.6212, 0.3347]"
2026-06-11,8,SUIUSDT,LONG,2026-06-11 00:00:00+00:00,FLAT,1.0,,BULLISH,0.8157,"[0.1168, 0.0675, 0.8157]",1,0.72/0.72,1.0,0.0,-1.0,-1.0,0.23851078698574815,-0.2878651938624144,2598019.6500000022,750999.1000000008,0.8681481616242515,0.09273662489384772,0.024557171496526385,-1.746612989348742,17.581629837799507,15.758768645041348,-0.008562743449887915,-0.015136308616542438,0.21974965229485396,0.12048192771084337,-1.2018576444174722,-1.7390396333552305,47.308743892758436,40.372108312940135,1.0082615704754119,0.0,0.7326,0.7278,FLAT,0.5025,LONG,0.5683,flat_lstm_reviewed,"[0.1114, 0.5025, 0.3861]"
2026-06-11,8,ARBUSDT,LONG,2026-06-11 00:00:00+00:00,FLAT,1.0,,BULLISH,0.8012,"[0.155, 0.0438, 0.8012]",1,0.72/0.72,1.0,0.0,-1.0,-1.0,0.22963524635311608,0.023321593933103037,5971247.4499999955,-62930.550000000745,1.4712965619344107,0.10356617836181574,1.640075314983316,-1.2906077928180304,22.385341284976974,21.825118088719048,-0.022644397151046918,-0.025092063429418512,0.5243393602225312,0.37751004016064255,-1.4651085386562008,-1.645105993081408,44.66090491478875,42.57527074100989,1.0053593832860048,0.0,0.07772,0.07753,LONG,0.5787,LONG,0.5647,flat_lstm_reviewed,"[0.1904, 0.2308, 0.5787]"
