feature,mean,max,count
ofi_h4_delta,1594357.851642857,11470128.0,14
rsi_h4,4.768368785714286,8.658758,14
stochrsi_d,1.3938739285714286,2.630254,14
vol_spike_zscore,1.2429299285714286,2.930683,14
hmm_regime_enc,1.2142857142857142,3.0,14
long_short_ratio,1.000779642857143,1.008262,14
vol_ratio_20,0.6749167142857143,1.36773,14
dist_from_8h_high,0.31647492857142856,0.596925,14
atr_percentile_h1,0.2591751428571429,0.483481,14
close,0.1507635714285714,1.05,14
cvd_slope_h4,0.14948935714285713,0.620258,14
log_ret_20,0.004328285714285714,0.009106,14
