date,symbol,hold_dir,hold_hour,hold_pnl,live_signal_at_hour,reason,live_dir,live_hour,live_pnl,live_conf,hold_dirs,live_dirs,hold_n,live_n
2026-06-08,ADAUSDT,LONG,9.0,1.641,FLAT,only_holdout,,,,,,,,
2026-06-08,ARBUSDT,SHORT,1.0,-0.4156,FLAT,only_holdout,,,,,,,,
2026-06-08,DOGEUSDT,LONG,4.0,1.7903,LONG,only_holdout,,,,,,,,
2026-06-08,LINKUSDT,LONG,12.0,1.5181,FLAT,only_holdout,,,,,,,,
2026-06-08,POLUSDT,SHORT,9.0,1.6919,FLAT,only_holdout,,,,,,,,
2026-06-08,SUIUSDT,SHORT,9.0,1.1199,FLAT,only_holdout,,,,,,,,
2026-06-08,1000PEPEUSDT,,,,,only_live,LONG,17.0,0.2803,0.7408,,,,
2026-06-08,HBARUSDT,,,,,only_live,LONG,17.0,0.1539,0.7995,,,,
2026-06-08,NEARUSDT,,,,,only_live,SHORT,20.0,-0.5397,0.802,,,,
2026-06-08,TAOUSDT,,,,,only_live,LONG,20.0,0.2611,0.7148,,,,
2026-06-08,XRPUSDT,,,,,only_live,LONG,16.0,0.193,0.7593,,,,
2026-06-08,AVAXUSDT,,,,,direction_conflict,,,,,{'LONG': 1},{'SHORT': 2},1.0,2.0
2026-06-09,LINKUSDT,SHORT,13.0,1.6122,FLAT,only_holdout,,,,,,,,
2026-06-09,ARBUSDT,,,,,only_live,LONG,5.0,-0.3592,0.7565,,,,
2026-06-09,AVAXUSDT,,,,,only_live,SHORT,0.0,0.6038,0.7068,,,,
2026-06-09,AVAXUSDT,,,,,only_live,SHORT,13.0,0.2932,0.6374,,,,
2026-06-09,AVAXUSDT,,,,,only_live,SHORT,21.0,0.4594,0.628,,,,
2026-06-09,ETHUSDT,,,,,only_live,LONG,4.0,0.3324,0.74,,,,
2026-06-09,ETHUSDT,,,,,only_live,LONG,13.0,-0.2459,0.7155,,,,
2026-06-09,HBARUSDT,,,,,only_live,LONG,21.0,-0.3847,0.7785,,,,
2026-06-09,POLUSDT,,,,,only_live,LONG,1.0,-0.3642,0.7764,,,,
2026-06-09,TONUSDT,,,,,only_live,SHORT,13.0,-0.4843,0.7041,,,,
2026-06-09,ADAUSDT,,,,,direction_conflict,,,,,{'SHORT': 1},{'LONG': 1},1.0,1.0
2026-06-10,SUIUSDT,LONG,6.0,-0.4986,FLAT,only_holdout,,,,,,,,
2026-06-10,AVAXUSDT,,,,,only_live,SHORT,11.0,0.2793,0.6934,,,,
2026-06-10,AVAXUSDT,,,,,only_live,SHORT,13.0,0.3529,0.6941,,,,
2026-06-10,AVAXUSDT,,,,,only_live,SHORT,15.0,0.2504,0.7253,,,,
2026-06-10,BNBUSDT,,,,,only_live,SHORT,2.0,-0.2568,0.6554,,,,
2026-06-10,ETHUSDT,,,,,only_live,SHORT,7.0,0.2067,0.6578,,,,
2026-06-10,ETHUSDT,,,,,only_live,SHORT,15.0,0.2017,0.7187,,,,
2026-06-10,LINKUSDT,,,,,only_live,SHORT,15.0,0.207,0.6237,,,,
2026-06-10,TAOUSDT,,,,,only_live,SHORT,4.0,0.4713,0.7381,,,,
2026-06-10,TONUSDT,,,,,only_live,SHORT,4.0,0.4418,0.7512,,,,
2026-06-10,XRPUSDT,,,,,only_live,SHORT,5.0,0.2734,0.7188,,,,
2026-06-10,NEARUSDT,,,,,direction_conflict,,,,,"{'LONG': 1, 'SHORT': 1}",{'SHORT': 1},2.0,1.0
2026-06-11,ADAUSDT,LONG,8.0,1.5323,FLAT,only_holdout,,,,,,,,
2026-06-11,LINKUSDT,LONG,8.0,1.8463,FLAT,only_holdout,,,,,,,,
2026-06-11,SOLUSDT,LONG,8.0,1.1541,FLAT,only_holdout,,,,,,,,
2026-06-11,TONUSDT,LONG,9.0,3.5334,FLAT,only_holdout,,,,,,,,
2026-06-11,1000PEPEUSDT,,,,,only_live,SHORT,16.0,-0.3559,0.6763,,,,
2026-06-11,AVAXUSDT,,,,,only_live,SHORT,9.0,-0.6624,0.6902,,,,
2026-06-11,HBARUSDT,,,,,only_live,LONG,21.0,-0.271,0.7747,,,,
2026-06-11,1000SHIBUSDT,,,,,direction_conflict,,,,,{'SHORT': 1},{'LONG': 1},1.0,1.0
2026-06-11,ARBUSDT,,,,,direction_conflict,,,,,{'LONG': 1},"{'LONG': 1, 'SHORT': 1}",1.0,2.0
2026-06-11,SUIUSDT,,,,,direction_conflict,,,,,{'LONG': 1},{'SHORT': 2},1.0,2.0
2026-06-11,TAOUSDT,,,,,direction_conflict,,,,,{'LONG': 1},{'SHORT': 1},1.0,1.0
2026-06-11,XRPUSDT,,,,,direction_conflict,,,,,{'LONG': 1},{'SHORT': 1},1.0,1.0
2026-06-12,1000SHIBUSDT,SHORT,20.0,-0.7333,FLAT,only_holdout,,,,,,,,
2026-06-12,1000SHIBUSDT,SHORT,22.0,0.2734,FLAT,only_holdout,,,,,,,,
2026-06-12,BTCUSDT,SHORT,23.0,-0.1031,NO_SIGNAL,only_holdout,,,,,,,,
2026-06-12,TAOUSDT,SHORT,20.0,-2.1972,SHORT,only_holdout,,,,,,,,
2026-06-12,1000PEPEUSDT,,,,,only_live,SHORT,8.0,-0.2896,0.6418,,,,
2026-06-12,BNBUSDT,,,,,only_live,SHORT,5.0,0.1783,0.7,,,,
2026-06-12,DOGEUSDT,,,,,only_live,SHORT,10.0,-0.233,0.6507,,,,
2026-06-12,ETHUSDT,,,,,only_live,SHORT,21.0,-0.8176,0.612,,,,
2026-06-12,LINKUSDT,,,,,only_live,SHORT,22.0,-0.9393,0.6327,,,,
2026-06-12,SUIUSDT,,,,,only_live,LONG,9.0,0.3268,0.7108,,,,
2026-06-12,SUIUSDT,,,,,only_live,LONG,10.0,0.3302,0.811,,,,
2026-06-12,SUIUSDT,,,,,only_live,SHORT,20.0,-0.6271,0.724,,,,
2026-06-12,TRXUSDT,,,,,only_live,SHORT,8.0,0.2812,0.5955,,,,
2026-06-12,DOTUSDT,,,,,direction_conflict,,,,,{'SHORT': 1},{'LONG': 1},1.0,1.0
2026-06-12,HBARUSDT,,,,,direction_conflict,,,,,{'SHORT': 1},{'LONG': 1},1.0,1.0
2026-06-13,TONUSDT,SHORT,0.0,1.3911,FLAT,only_holdout,,,,,,,,
2026-06-13,1000PEPEUSDT,,,,,only_live,LONG,2.0,-0.524,0.7433,,,,
2026-06-13,1000SHIBUSDT,,,,,only_live,LONG,8.0,0.4788,0.8008,,,,
2026-06-13,AVAXUSDT,,,,,only_live,LONG,3.0,-0.4896,0.7364,,,,
2026-06-13,AVAXUSDT,,,,,only_live,SHORT,13.0,-0.4829,0.7357,,,,
2026-06-13,DOTUSDT,,,,,only_live,LONG,2.0,0.5684,0.8886,,,,
2026-06-13,DOTUSDT,,,,,only_live,SHORT,12.0,-0.5772,0.7352,,,,
