Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-06-14 20:05,2026-06-14 22:09,TONUSDT,tb_widyawardhana_v2_continuation,LONG,0.50,1.6906,1.7360,1.7498,1.6573,0.022243,+3.5,+1.2,1.77,DOWN,0.05,1.7498,1.6712,5.0000,5.0,+0.65,+13.0,guardian_momentum_exit,2,closed
2026-06-14 16:05,2026-06-14 21:39,POLUSDT,tb_widyawardhana_v2_continuation,SHORT,0.52,0.075162,0.076106,0.074169,0.076068,0.00049680,+0.9,+0.7,1.10,DOWN,0.22,0.075820,0.074650,5.0000,5.0,-0.33,-6.7,sl_hit,5,closed
2026-06-14 09:05,2026-06-14 11:04,1000SHIBUSDT,tb_widyawardhana_v3,LONG,0.46,0.00500350,0.00496163,0.00505602,0.00496411,0.00002626,+0.7,+0.4,1.33,UP,0.11,0.00503900,0.00498300,5.0000,5.0,-0.23,-4.6,sl_hit,1,closed
2026-06-14 07:05,2026-06-14 14:07,XRPUSDT,tb_widyawardhana_v3,SHORT,0.52,1.1442,1.1350,1.1330,1.1527,0.00562943,+1.0,-0.0,1.33,UP,0.06,1.1561,1.1443,5.0000,5.0,+0.18,+3.6,guardian_momentum_exit,7,closed
2026-06-14 07:05,2026-06-14 14:12,ETHUSDT,tb_widyawardhana_v3,SHORT,0.51,1674.18,1664.57,1662.17,1692.90,6.0057,+0.9,+0.0,0.64,UP,0.09,1689.90,1674.00,5.0000,5.0,+0.12,+2.5,guardian_exit,7,closed
2026-06-14 07:05,2026-06-14 10:24,1000PEPEUSDT,tb_widyawardhana_v3,SHORT,0.46,0.00281859,0.00284042,0.00278260,0.00284558,0.00001799,+1.4,-0.6,1.33,DOWN,0.08,0.00285920,0.00283410,5.0000,5.0,-0.21,-4.3,guardian_exit,3,closed
2026-06-14 07:05,2026-06-14 14:17,SUIUSDT,tb_widyawardhana_v3,SHORT,0.44,0.757921,0.751175,0.746832,0.766238,0.00554455,+1.6,-0.5,1.33,DOWN,0.08,0.770400,0.761800,5.0000,5.0,+0.20,+4.0,guardian_exit,7,closed
2026-06-14 04:05,2026-06-14 09:15,TRXUSDT,tb_widyawardhana_v3,LONG,0.48,0.315438,0.317040,0.316755,0.314450,0.00065856,+0.9,-0.3,1.33,DOWN,0.07,0.318230,0.316420,5.0000,5.0,+0.11,+2.1,reconciled,5,closed
2026-06-14 01:05,2026-06-14 03:38,NEARUSDT,tb_widyawardhana_v3,LONG,0.42,2.1121,2.1340,2.1860,2.0629,0.032760,+3.5,+1.5,1.50,UP,0.05,2.1860,2.0810,2.5000,5.0,+0.11,+4.4,manual_close,2,closed
2026-06-14 00:05,2026-06-14 10:26,DOTUSDT,tb_widyawardhana_v3,SHORT,0.43,0.977511,0.972000,0.961948,0.995891,0.00778125,+1.5,+0.3,0.85,UP,0.07,0.992000,0.975000,5.0000,5.0,+0.12,+2.4,manual_close,10,closed
